SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
447,2020-01-30 00:00:00,,India,2020-01-30 16:00:00,1.0,0.0,0.0
510,2020-01-31 00:00:00,,India,2020-01-31 23:59:00,1.0,0.0,0.0
568,2020-02-01 00:00:00,,India,2020-01-31 08:15:00,1.0,0.0,0.0
630,2020-02-02 00:00:00,,India,2020-02-02 06:03:08,2.0,0.0,0.0
697,2020-02-03 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
767,2020-02-04 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
839,2020-02-05 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
912,2020-02-06 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
987,2020-02-07 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
1061,2020-02-08 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
1135,2020-02-09 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
1210,2020-02-10 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
1284,2020-02-11 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
1359,2020-02-12 00:00:00,,India,2020-02-03 21:43:02,3.0,0.0,0.0
1434,2020-02-13 00:00:00,,India,2020-02-13 18:53:02,3.0,0.0,0.0
1510,2020-02-14 00:00:00,,India,2020-02-13 18:53:02,3.0,0.0,0.0
1587,2020-02-15 00:00:00,,India,2020-02-13 18:53:02,3.0,0.0,0.0
1664,2020-02-16 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
1741,2020-02-17 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
1818,2020-02-18 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
1895,2020-02-19 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
1974,2020-02-20 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2056,2020-02-21 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2142,2020-02-22 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2228,2020-02-23 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2315,2020-02-24 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2410,2020-02-25 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2509,2020-02-26 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2616,2020-02-27 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2725,2020-02-28 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2848,2020-02-29 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
2974,2020-03-01 00:00:00,,India,2020-02-16 07:43:02,3.0,0.0,3.0
3097,2020-03-02 00:00:00,,India,2020-03-02 22:33:09,5.0,0.0,3.0
3245,2020-03-03 00:00:00,,India,2020-03-02 22:33:09,5.0,0.0,3.0
3373,2020-03-04 00:00:00,,India,2020-03-04 12:33:03,28.0,0.0,3.0
3538,2020-03-05 00:00:00,,India,2020-03-05 13:53:03,30.0,0.0,3.0
3713,2020-03-06 00:00:00,,India,2020-03-06 13:03:12,31.0,0.0,3.0
3916,2020-03-07 00:00:00,,India,2020-03-07 18:13:27,34.0,0.0,3.0
4144,2020-03-08 00:00:00,,India,2020-03-08 09:23:05,39.0,0.0,3.0
4403,2020-03-09 00:00:00,,India,2020-03-09 09:13:17,43.0,0.0,3.0
4670,2020-03-10 00:00:00,,India,2020-03-10 10:13:28,56.0,0.0,4.0
4880,2020-03-11 00:00:00,,India,2020-03-11 22:13:12,62.0,1.0,4.0
5097,2020-03-12 00:00:00,,India,2020-03-12 08:33:13,73.0,1.0,4.0
5380,2020-03-13 00:00:00,,India,2020-03-11 20:00:00,82.0,2.0,4.0
5556,2020-03-14 00:00:00,,India,2020-03-14 20:33:03,102.0,2.0,4.0
5806,2020-03-15 00:00:00,,India,2020-03-15 18:20:18,113.0,2.0,13.0
6076,2020-03-16 00:00:00,,India,2020-03-16 14:38:45,119.0,2.0,13.0
